is_lesson,paragraph
0,"The design used proven project implementation arrangements. MARD was the executing agency, and its experienced central project office (CPO) was tasked with implementing the project through a central project management unit (CPMU) and provincial project management units (PPMUs). Irrigation management companies (IMCs)—the eventual owners and operators of the constructed schemes—were consulted during the feasibility study and detailed engineering design (DED) preparation. Also, the supervisory control and data acquisition (SCADA) system used was based on MARD’s survey of the BHH’s immediate needs and was within the capacity of IMCs responsible for operation and maintenance (O&M)."
1,"The strong commitment of ADB, the HPG, and the PRC government to systematically improving air quality in the BTL region made the delivery of the first PBL in the PRC feasible. The HPG sustained its political commitment throughout the program and offered support to implement the policy reforms. ADB quickly mobilized resources and coordinated with other development agencies to process and implement the program. ADB has also committed to offering long-term financial assistance to help the HPG continue to improve air quality in the BTH region. For 2016– 2020, ADB is making $500 million in loans available annually to the Government of the PRC to support air quality improvement in the BTH region."
1,"To encourage timely repayment of housing loans, all participating commercial banks should charge a penalty on delinquent payments."
1,The new Law on Irrigation became effective in July 2018. Its implementation guidelines are being applied and will need to be monitored to verify that the expectations regarding O&M financing will be fulfilled.
1,Further action or follow-up: Continued monitoring of progress on scaling up the Automated System for Customs Data World system. ADB should continue to monitor the DOC's program of rolling out the ASYCUDAWorld system to additional customs points and upgrade customs systems as newer technologies become available.
1,The contract bidding documents should take into consideration likely weather conditions at the project site and provide reasonable construction contract durations.
0,The final set of outputs encompass improving both health outcomes and the efficiency of their delivery. Benefits in this area are more directly quantifiable and discussed in the Additional Project Benefits section.
0,"Investment component. At appraisal, the project envisaged the rehabilitation and upgrading of about 1,080 km of state highways identified under the state road rehabilitation program.7 During project preparation, the candidate roads were reviewed and selected according to the selection criteria and the approval process specified in the project appraisal documents. Upon completion, 15 sections of state highways, totaling 1,083.1 km, were rehabilitated or reconstructed. This involved widening and strengthening the roads from single or intermediate- lane roads to intermediate or two-lane standards with bituminous pavement. Overall, 149 bridges and 1,330 culverts were rehabilitated, and road signage and furniture provided. Compensatory reforestation of 1:15.7 was achieved against the targeted 1:7. 8 A road accident emergency response system was developed and became operational in June 2015. A summary of the outputs of the investment component is in Appendix 2."
1,"Design and monitoring framework. Some of the expected performance targets and  indicators formulated in the DMF were aligned more with the overall investment program, and a  separate DMF for the project was not prepared. Apart from the DMF for the MFF, a DMF should  be prepared for each tranche under the MFF, which should be distinct, specific, and directly  attributable to the respective tranche so that its achievement against the project-specific  indicators and targets can be suitably evaluated."
1,"The gender mainstreaming module, which covers gender sensitive knowledge and practical guidance to promote girls’ participation in the non-traditional occupations was also incorporated in the development training programs provided by this project. For example, training on management and leadership skills; training on planning and social marketing; training on program accreditation – assessor. However, the project experience showed that besides gender mainstreaming into training materials, it really needs to have gender awareness training session to ensure that the school leaders and teachers have a clear understanding of gender concepts and why gender important to them. Especially, the project also needs to build school leadership in addressing gender issues."
1,"Performance of contractors and implementation delays. One of the primary reasons for the implementation delays was the limited experience and capacity of small local contractors, who were considered as subcontractors. This inevitably affected the project performance. The contract for package 5 was terminated and a new contract was procured for the balance of work, causing further implementation delays. The project was one of the first ADB-financed expressways for the VEC. Thus, VEC experienced a learning period for ADB’s procurement process and loan administration policy. After implementing this project, VEC’s capacity to implement future ADB-financed projects is expected to improve."
1,"The CLV governments are highly committed to collaboratively controlling and preventing communicable diseases and ensuring regional health security. 5 An agreed common strategy is to collectively seek compliance with the International Health Regulations (IHR) 2005 core capacities, and to jointly implement the Asia Pacific Strategy for Emerging Diseases (APSED)6 3 Cambodia received a grant of $10 million, the Lao PDR received a grant of $12 million, and Viet Nam received a loan of $27 million. Counterpart funds contributed by the governments were $1 million each from Cambodia and the Lao PDR, and $3 million from Viet Nam. 4 Additional financing to fight malaria is financed through the Regional Malaria and Other Communicable Disease Threats Trust Fund (RMTF). Financing partners: the governments of Australia, Canada, and the United Kingdom. 5 Their commitments were voiced at high-level political events such as the GMS Summit of Leaders; and the November 2018 meeting of Association of Southeast Asian Nations representatives in Bali: ASEAN Health Ministers renew commitment to fight communicable and emerging infectious diseases. 6 The IHR 2005, a global framework endorsed by the 58th World Health Assembly, provide a legal instrument intended to identify core minimum capacities that need to be implemented nationally; World Health Organization (WHO). Asia- Pacific strategy for emerging diseases (APSED). and the World Health Organization (WHO) malaria elimination strategy for the GMS. 7 Each country adopted health sector strategies and action plans with CDC as a priority (i.e., Cambodia’s Second Health Strategic Plan 2008–2015; the Lao PDR’s National Strategy on Emerging Infectious Diseases 2006–2010; and Viet Nam’s Law on Prevention and Control of Infectious Diseases enacted in 2008). The design of the project was aligned with these international commitments and national strategies and policies."
1,"Encroachment within the project's road right-of-way has reached serious proportions,  and countermeasures are urgently needed. An innovative approach was pilot-tested on contract  6 of the road improvement component. There a combination of bus lanes and grade-separation  was used at Chiringa Market to keep traders off the road and prevent buses from stopping on  the carriageway. This appears to be working very well, and is recommended for adoption in  similar circumstances on future ADB-assisted projects."
1,The private vocational colleges are strong in forging partnerships with enterprises. Marketing to attract more students was done through briefings before the start of enrolment. It is through these briefings that a vocational college presented the experience of its graduates putting
0,"Output 3’s performance indicator targeted issuance of at least 2,600 new loans by end of 2017, of which at least 50% should be to women. This output was achieved. By 31 December 2017, PFIs have issued 2,780 new MSME loans, of which 2,040 (73%) were disbursed to women entrepreneurs. 10 World Bank. 2018. Doing Business 2018: Equal Opportunity for All. Comparing Business Regulation for Domestic Firms in 190 Economies. Washington, DC.  Annual-Reports/English/DB18-Report.pdf"
0,"The customer satisfaction, as measured by the number of complaints per thousand customers, improved during the project implementation. However, the number of complaints may not be an accurate measure of performance, as it is a manual system that involves a very lengthy response time, and customers are aware they are unlikely to get a reply and action to a malfunctioning water problem and on this basis take no action. No data or survey collection was undertaken on the benefit to women from the improved water supply services, so this impact indicator could not be measured."
0,"Component 4 was implemented through the Agriculture Department with one director and seven deputy water management officers from 2010 until completion in December 2012. For component 5, a program management office was established in 2010 under the PMU. It was headed by a program director with three regional support offices. The office was closed in 2013 before the PIDA took control. The PIAPPF administration shifted multiple times initially from the IPPMU to the PMO Barrages in 2011, the PMU in 2013, the PMO Barrages in 2015, and the PMU in 2015 where it remained until completion. A project steering committee was established for implementation of the technical assistance, the MFF and the project. The committee could hold only two meetings during the project period, however, ADB missions met members of the committee during missions as requested and the PMU sent monthly progress reports to the Planning and Development Department headed by the committee chairman."
1,"It is important to set feasible implementation schedules that reflect the actual capacity of the project’s executing and implementing agencies. When undertaking revisions and extensions in project closing dates, it is essential to be realistic about the project implementation capacity, so a series of short extensions are avoided."
0,Project management was supportive of GAP implementation. Review missions regularly included a review of GAP implementation progress and provided recommendations. This was an important factor in achieving many of the GAP targets.
0,"Performance, key problems, and opportunities in the road subsector in Madhya Pradesh were well analyzed. Lessons from previous projects, especially previous state highway projects in Madhya Pradesh, were incorporated in the project. The DMF was sound and indicators were logical and appropriate. Performance targets for outcome and outputs were objective, realistic and measurable. Nonetheless, the DMF could have been improved with inclusion of indicators on sustainability and private sector participation. An engineering design was prepared to minimize social and environmental impacts and to adopt the “green highway” approach. Adequate consultations with stakeholders, particularly with women, contributed significantly to project formulation. Advance actions were taken to ensure that the construction could start without unnecessary delay. All the preparatory activities for the project outputs were completed during project appraisal. In addition, capacity development TA was attached to the project to support the MPRDC’s initiatives related to road safety management. The TA helped MPRDC put the road accident emergency response system into operation and enhanced MPRDC’s road safety capacity through training (para. 7)."
0,The project created opportunities for women VHWs in the recruitment and trainings. These helped women VHWs to access CDC activities and improve the knowledge on the proliferation of communicable diseases as well as controlled efficiency in case detection and treatment management in village. Output 3: Integrated project management
0,"A financial analysis is conducted based on estimates on with-project raw water sales (Table 6), raw water tariff (Table 7), and O&M estimate (paras. 13-15). As stated, historically WTC raw water tariff is less than 35% of O&M costs. Although tariffs have increased in subsequent years, the data indicates that they are still insufficient to recoup O&E costs, let alone of the initial capital investment costs.8 In this instance, FIRR which will be a negative figure is not a meaningful metrics for financial analysis. A more appropriate measure would be the OER, which expresses operating costs as a percentage of operating revenue, and measures to what extent an entity is self-sustainable. An OER less than unity indicates that the project can generate more operating revenues than operating costs."
0,"Viet Nam has made notable progress in reducing poverty and improving the health status of its citizens. Despite this, significant disparities in access to health services and health status continue to be observed across geographic regions and population subgroups. In 2005, the government set out an ambitious plan to improve the equity and efficiency of the health sector and the quality of health care at all levels.1 Priority areas for policy development and investment were identified, including (i) strengthening the management of health human resources (HHR); (ii) implementing heath workforce registration and health facility licensing; (iii) enhancing the quality of health workforce training; (iv) strengthening the systems for health service quality management; and (v) improving the efficiency of hospital financing. The government and the Ministry of Health (MOH), in consultation with the Asian Development Bank (ADB), determined that a sector development program (SDP) was the most appropriate financing modality to achieve the envisioned reforms. The SDP comprised of (i) a policy-based loan (PBL) that would establish the required policy and regulatory frameworks to operationalize key reform areas, including passing the Law on Examination and Treatment, 2009 (LET); and (ii) a project loan and grant, which would provide the stimulus to translate the reform agenda into tangible results."
0,"Gender content reflected in CDC training curriculum, HRD plans cross-border activities: Achieved. In CDC training curriculum included the contents on the GAP and ethnic minority development plan (EMDP) implementation. 20 provinces had integrated GAP and EMP contents into project planning (AOPs) with budget. GAP are reflected in training, workshops, information and communication materials, HRD plans and cross-border activities. CPMU and PPMUs have one project officer responsible for monitoring and reporting results. Output 2: Improved CDC along Borders and Economic Corridors"
0,"Capital investment costs are the actual sub-zone project capital investment cost spread over the construction contract period, and with taxes and other charges removed from this cost."
0,"The EIRR was subjected to sensitivity analysis to test different scenarios of maintenance costs and benefits. The sensitivity analysis results indicated that the project continued to be economically viable for all scenarios. If a 20% maintenance cost increase would be combined with a 20% benefit reduction, the EIRR would be still 13.5% for the whole project. The sensitivity analysis Table A12.5: Sensitivity Test for the Whole Project EIRR = economic internal rate of return, ENPV = economic net present value. Source: The Asian Development Bank project completion review mission. A12.6: Economic Reevaluation for Whole Project (₹ million) Economic Net Present Value (ENPV):	21,084.4 Economic Internal Rate of Return (EIRR):		19.7% EIRR = economic internal rate of return; ENPV = economic net present value; VOC = vehicle operating cost. Source: The Asian Development Bank project completion review mission. A12.7: Economic Reevaluation for Bhopal Region (₹ million) Economic Net Present Value (ENPV):	19,316.8 Economic Internal Rate of Return (EIRR):		21.8% EIRR = economic internal rate of return; ENPV = economic net present value; VOC = vehicle operating cost. Source: The Asian Development Bank project completion review mission. A12.8: Economic Reevaluation for Jabalpur Region (₹ million) Economic Net Present Value (ENPV):	1,767.7 Economic Internal Rate of Return (EIRR):		14.3% EIRR = economic internal rate of return; ENPV = economic net present value; VOC = vehicle operating cost. Source: The Asian Development Bank project completion review mission."
0,The total emissions reduction estimated against the baseline over the 25-year evaluation period was estimated at 5.9 million tCO2. These emissions reductions were valued assuming a (2015 real) price of $36.30 per tCO2.
0,"The facility was designed to overcome the DISCOMs’ capacity constraints by breaking the scope of work into six manageable projects and to provide flexibility in execution as per the ground realities. With respect to project 6, the DMF was developed after the gaps from the first five projects had been identified, including extension of the improvements to the distribution system in a remote rural district in DISCOM-C as well enterprise resource  planning (ERP), GIS and related computer hardware, and software to automate the operation and maintenance (O&M) of the newly improved distribution systems. It also included an ERP for the MPPMCL to facilitate its role as a power management administrator for the DISCOMs. The DMF for project 6 (Appendix 2) details the specific components and works that were achieved with some adjustment of works based on ground realities (para. 15). Project 6, being the project that completes the facility, has components that helped improve the operation and management of the new works under the facility. Changes, as per ground realities, were necessary to enhance the relevance of the facility. Both the MFF and project 6 were rated relevant at appraisal."
0,"Output 4 provided additional and more sustained capacity building and training - particularly on-the-job training that was needed to ensure efficient and effective provision and delivery of the activities, and to implement on time and within budget."
0,Project oversight by ADB. Procedures for efficient handover of projects when transitioning between ADB project officers should be strengthened to ensure that technical issues and implementation changes are properly documented and processed accordingly.
1,"The project also provided several trainings under Output 2, namely in-service training for teachers from project and non-project vocational colleges to upgrade their pedagogical and technical skills, training of teachers in materials development, training of vocational college directors on the conduct of tracer studies, and a training of the enterprise relations units in the development and implementation of institutional, operational, and marketing plans targeting industrial training for potential income generation for the vocational colleges."
1,"Second, the MFF should have better anticipated and mitigated the cumbersome disbursement and procurement procedures and the complexity and time demands of equitization. The MFF has a maximum implementation period of 10 years. Although the government closed the project after 8 years, the full 10 years would have still been insufficient. Equitization procedures were untested and took longer than expected. Moreover, consultancy packages were not procured in parallel, and the procurement had to satisfy both the national and ADB regulations. In the case of tranche 2, which was effective for less than 2 years (para.33), there was only time to procure and implement a single package."
0,"The overall project is rated likely sustainable. For Loan A, enrollment has increased in the public vocational colleges as a result of the project’s support for modern equipment, upskilled teachers, and improved capacity to work with industry. The project has succeeded in changing the attitudes of enterprises towards vocational colleges and increased their demand for (i) services, collaboration, and student internships; and (ii) short-term and specific trainings from the vocational colleges. All these contribute to increased revenues for the vocational colleges, which will help them sustain their programs and maintain equipment. Numerical analysis of the projected financial performance of vocational colleges for the next 5 years is presented in Appendix 10."
0,"As envisaged at appraisal, the project was to be financed by the ADB loan of $55.0 million (78.6% of the total project cost) and government funding of $15.0 million (21.4%). At additional financing, the financing plan was revised to include $70.1 million (79.7%) from ADB and $17.9 million (20.3%) from the government. Upon closing of the loans and grant on 31 December 2017, a total of $64.55 million was disbursed from ADB, including SDR34,576,977 (or $51.05 million equivalent) from the original loan (accounting for 98.7% of the total loan amount); SDR6,754,952 (or $9.36 million equivalent) from the additional loan (93% of the loan amount); and $4.14 million from the grant (96.3% of the grant amount). The actual project financing was also revised to be 78.6% from ADB and 21.4% from the government. During implementation, the original loan proceeds were reallocated several times, mainly to fully cover the ADB-financed amount of the civil works category from other categories. A detailed comparison of the project financing by financier at appraisal and at completion is in Appendix 3."
0,"At appraisal, WTC’s raw water tariff was less than 35% of operation and maintenance (O&M) costs. Although tariffs have increased in subsequent years, the data indicates that they are still insufficient to recover the O&M costs. A more appropriate measure would be the operating expense ratio, which expresses operating costs as a percentage of operating revenue, and measures to what extent an entity is self-sustainable. The average operating expense ratio is 1.38, reduced from the 2008 level of around 2.86 but is still greater than unity, indicating that WTC’s operating costs is greater than operating revenue. Unless tariffs can be adjusted periodically, WTC operator as a state-owned enterprise would continue to rely on government budgetary support to cover the operating shortfall. Details of the economic and financial analysis are in Appendix 9."
0,"A national professional body for curriculum development was established and began functioning in March 2009. In 2010, 16 trade books were developed and made available, and each trade had its own training manual. The national professional body reviewed the curriculum annually, considering the feedback from the MOPAs. Seven workshops (12% of target) on curriculum development and program implementation had been conducted by the end of 2011. The curriculum was approved in January 2012 by the Ministry of Primary and Mass Education (MOPME). By March 2012, teachers’ manuals had been produced and distributed to 14,362 teachers; 210 program coordinators, 143 master trainers, 479 supervisors, and 14,362 facilitators were trained. Quality assessment of curricula, materials, and training of trainers were conducted by international consultants."
0,"Overall, the MFF and the project 3 are rated successful. The MFF, including project 3, was relevant to the government’s overall development objectives and ADB’s policies at appraisal, and continues to remain so upon completion. The strength of the MFF and project 3 was their objective of universal coverage of water supply and wastewater services. The MFF and project 3 are rated effective, as planned outcome and output targets of the project investments were achieved, except that of SWM. The project 3 is rated efficient, as the EIRR for all interventions was reassessed to be higher than the economic opportunity cost of capital of 12%. The MFF is rated efficient as all of its three tranches are rated efficient. 38 The MFF and project 3 are rated likely sustainable as the O&M costs of MFF assets are met by the GOR as per the assurances and covenants, through statutory transfers from SFC and the CFC, and collection of municipal taxes and user charges. The development impacts are rated satisfactory, as the MFF and project 3 have contributed significantly to all the impact indicators, resulting in improved quality of life indices, poverty reduction, and economic and social inclusion in the 15 ULBs. The performance of the borrower and the executing agency as well as ADB under the MFF and the project 3 are rated satisfactory. These are summarized in the following table. 38 ADB. 2017. Completion Report. India: Rajasthan Urban Sector Development Investment Program (Tranche 1). Manila; and ADB. 2019. Completion Report. India: Rajasthan Urban Sector Development Investment Program (Tranche 2). Manila. ADB = Asian Development Bank, MFF = multitranche financing facility. Source: Asian Development Bank."
1,"Align technical assistance with program objectives. ADB should carefully align the objectives and outputs of program loans with related TA to ensure efficient and effective program implementation. TA resources must be planned, procured, and deployed to support program outputs. SEMP II helped ensure strong government commitment to policy reforms and accelerated implementation by incorporating related TA into the program design. It is important that ADB and the government establish a joint oversight mechanism and introduce a mechanism for coordination between government counterparts and the consulting team."
